accession,evidence,location,MANUAL_MAP
Q15041,ECO:0000269,Endoplasmic reticulum membrane,Endoplasmic.reticulum
Q9JKW0,ECO:0000269,Endoplasmic reticulum,Endoplasmic.reticulum
Q66PJ3,ECO:0000269,Nucleus,Nucleus
Q66PJ3,ECO:0000269,Nucleus speckle,Nucleus
Q92747,ECO:0000269,Cytoplasm,Cytoplasm
O15143,ECO:0000269,Cytoplasm,Cytoplasm
O15143,ECO:0000269,Nucleus,Nucleus
Q7K1U0,ECO:0000269,Cell junction,Cell.membrane
B0R9X2,ECO:0000269,Cell membrane,Cell.membrane
P61209,ECO:0000269,Golgi apparatus,Golgi.apparatus
P61209,ECO:0000269,Cytoplasm,Cytoplasm
P84077,ECO:0000269,Golgi apparatus,Golgi.apparatus
P84077,ECO:0000269,Cytoplasm,Cytoplasm
P84078,ECO:0000269,Golgi apparatus,Golgi.apparatus
P84079,ECO:0000269,Golgi apparatus,Golgi.apparatus
P84079,ECO:0000269,Cell junction,Cell.membrane
Q2LAJ3,ECO:0000269,Nucleus,Nucleus
K4DF01,ECO:0000269,Nucleus,Nucleus
Q8TER5,ECO:0000269,Cytoplasm,Cytoplasm
O08697,ECO:0000269,Mitochondrion intermembrane space,Mitochondrion
O08697,ECO:0000269,Cytoplasm,Cytoplasm
O08697,ECO:0000269,Nucleus,Nucleus
Q5T2S8,ECO:0000269,Cytoplasm,Cytoplasm
Q96C12,ECO:0000269,Cytoplasm,Cytoplasm
Q5EBP3,ECO:0000269,Cytoplasm,Cytoplasm
Q9UUJ1,ECO:0000269,Cytoplasm,Cytoplasm
P32381,ECO:0000269,Cytoplasm,Cytoplasm
Q801P7,ECO:0000269,Cytoplasm,Cytoplasm
Q801P7,ECO:0000269,Nucleus,Nucleus
P42528,ECO:0000269,Cytoplasm,Cytoplasm
Q9ZWS6,ECO:0000269,Nucleus,Nucleus
Q91YI4,ECO:0000269,Cytoplasm,Cytoplasm
Q91YI4,ECO:0000269,Nucleus,Nucleus
Q91YI4,ECO:0000269,Cell membrane,Cell.membrane
Q08655,ECO:0000269,Nucleus,Nucleus
Q06834,ECO:0000269,Cytoplasm,Cytoplasm
Q06834,ECO:0000269,Nucleus,Nucleus
Q8VZ20,ECO:0000269,Nucleus,Nucleus
Q53JF7,ECO:0000269,Nucleus,Nucleus
Q53JF7,ECO:0000269,Cytoplasm,Cytoplasm
Q9HD20,ECO:0000269,Endoplasmic reticulum membrane,Endoplasmic.reticulum
Q9NQ11,ECO:0000269,Lysosome membrane,Lysosome/Vacuole
Q9NQ11,ECO:0000269,Cytoplasmic vesicle,Lysosome/Vacuole
Q9SCK0,ECO:0000269,Cytoplasmic vesicle,Lysosome/Vacuole
Q93VB2,ECO:0000269,Cytoplasm,Cytoplasm
Q93VB2,ECO:0000269,Nucleus,Nucleus
Q9M276,ECO:0000269,Nucleus,Nucleus
Q86P48,ECO:0000269,Nucleus,Nucleus
P18848,ECO:0000269,Nucleus,Nucleus
P18848,ECO:0000269,Nucleus speckle,Nucleus
P18848,ECO:0000269,Cytoplasm,Cytoplasm
Q06507,ECO:0000269,Nucleus,Nucleus
Q06507,ECO:0000269,Cytoplasm,Cytoplasm
Q9ES19,ECO:0000269,Nucleus,Nucleus
Q9ES19,ECO:0000269,Cytoplasm,Cytoplasm
Q9ES19,ECO:0000269,Cell membrane,Cell.membrane
Q9Y2D1,ECO:0000269,Cytoplasm,Cytoplasm
Q9Y2D1,ECO:0000269,Nucleus,Nucleus
O70191,ECO:0000269,Nucleus,Nucleus
P18850,ECO:0000269,Endoplasmic reticulum membrane,Endoplasmic.reticulum
P18850,ECO:0000269,Golgi apparatus membrane,Golgi.apparatus
P18850,ECO:0000269,Nucleus,Nucleus
F6VAN0,ECO:0000269,Endoplasmic reticulum membrane,Endoplasmic.reticulum
F6VAN0,ECO:0000269,Nucleus,Nucleus
G3V909,ECO:0000269,Endoplasmic reticulum membrane,Endoplasmic.reticulum
G3V909,ECO:0000269,Nucleus,Nucleus
Q99941,ECO:0000269,Endoplasmic reticulum membrane,Endoplasmic.reticulum
Q99941,ECO:0000269,Nucleus,Nucleus
P17544,ECO:0000269,Nucleus,Nucleus
P17544,ECO:0000269,Chromosome,Nucleus
P17544,ECO:0000269,Cytoplasm,Cytoplasm
Q8R0S1,ECO:0000269,Nucleus,Nucleus
Q8R0S1,ECO:0000269,Chromosome,Nucleus
Q9USM8,ECO:0000269,Cytoplasm,Cytoplasm
Q5QJC0,ECO:0000269,Cytoplasm,Cytoplasm
Q5QJC0,ECO:0000269,Membrane,Cell.membrane
Q5QJC0,ECO:0000269,Vacuole membrane,Lysosome/Vacuole
Q86TL0,ECO:0000269,Cytoplasm,Cytoplasm
Q86TL0,ECO:0000269,Mitochondrion matrix,Mitochondrion
Q6UY14,ECO:0000269,Secreted,Extracellular
P0DPG4,ECO:0000269,Mitochondrion inner membrane,Mitochondrion
P81450,ECO:0000269,Mitochondrion membrane,Mitochondrion
Q9LU63,ECO:0000269,Plastid,Plastid
Q9LU63,ECO:0000269,Cell membrane,Cell.membrane
Q9LU63,ECO:0000269,Nucleus,Nucleus
P50273,ECO:0000269,Mitochondrion inner membrane,Mitochondrion
P26526,ECO:0000269,Plastid,Plastid
Q9SSS9,ECO:0000269,Plastid,Plastid
Q9P6R6,ECO:0000269,Mitochondrion,Mitochondrion
Q9P6R6,ECO:0000269,Mitochondrion inner membrane,Mitochondrion
Q8HTL5,ECO:0000269,Plastid,Plastid
Q8WTD3,ECO:0000269,Secreted,Extracellular
Q9H1Z8,ECO:0000269,Secreted,Extracellular
Q9H1Z8,ECO:0000269,Cytoplasm,Cytoplasm
Q9H1Z8,ECO:0000269,Apical cell membrane,Cell.membrane
Q99LS0,ECO:0000269,Secreted,Extracellular
D4A540,ECO:0000269,Cytoplasm,Cytoplasm
Q9JLZ3,ECO:0000269,Mitochondrion,Mitochondrion
O14965,ECO:0000269,Cytoplasm,Cytoplasm
P97477,ECO:0000269,Cytoplasm,Cytoplasm
Q9UQB9,ECO:0000269,Chromosome,Nucleus
Q9UQB9,ECO:0000269,Cytoplasm,Cytoplasm
Q8NCR0,ECO:0000269,Endoplasmic reticulum,Endoplasmic.reticulum
Q6Y288,ECO:0000269,Endoplasmic reticulum membrane,Endoplasmic.reticulum
Q6ZMB0,ECO:0000269,Golgi apparatus membrane,Golgi.apparatus
Q9H3F6,ECO:0000269,Nucleus,Nucleus
P56817,ECO:0000269,Cell membrane,Cell.membrane
P56817,ECO:0000269,Golgi apparatus,Golgi.apparatus
P56817,ECO:0000269,Endoplasmic reticulum,Endoplasmic.reticulum
P56817,ECO:0000269,Cell surface,Extracellular
P56817,ECO:0000269,Lysosome,Lysosome/Vacuole
P56818,ECO:0000269,Golgi apparatus,Golgi.apparatus
P56818,ECO:0000269,Cell surface,Extracellular
P56818,ECO:0000269,Lysosome,Lysosome/Vacuole
Q9Y5Z0,ECO:0000269,Cell membrane,Cell.membrane
Q9Y5Z0,ECO:0000269,Golgi apparatus,Golgi.apparatus
Q9JL18,ECO:0000269,Cell membrane,Cell.membrane
Q8N9N5,ECO:0000269,Nucleus,Nucleus
Q8VBU8,ECO:0000269,Nucleus,Nucleus
P85350,ECO:0000269,Secreted,Extracellular
Q07812,ECO:0000269,Mitochondrion outer membrane,Mitochondrion
Q07812,ECO:0000269,Cytoplasm,Cytoplasm
Q9UIG0,ECO:0000269,Nucleus,Nucleus
Q0AVM4,ECO:0000269,Cytoplasm,Cytoplasm
P38772,ECO:0000269,Nucleus,Nucleus
Q0AVA8,ECO:0000269,Cytoplasm,Cytoplasm
Q9BYV7,ECO:0000269,Mitochondrion,Mitochondrion
Q99NF1,ECO:0000269,Mitochondrion,Mitochondrion
Q38897,ECO:0000269,Nucleus,Nucleus
P89873,ECO:0000269,Secreted,Extracellular
Q2UCU3,ECO:0000269,Secreted,Extracellular
Q9SE50,ECO:0000269,Endoplasmic reticulum lumen,Endoplasmic.reticulum
Q8L467,ECO:0000269,Nucleus,Nucleus
Q9M0X8,ECO:0000269,Nucleus,Nucleus
Q9C682,ECO:0000269,Nucleus,Nucleus
Q6QNY1,ECO:0000269,Cytoplasm,Cytoplasm
Q5U5M8,ECO:0000269,Cytoplasm,Cytoplasm
A0A219CMY0,ECO:0000269,Secreted,Extracellular
P13497,ECO:0000269,Golgi apparatus,Golgi.apparatus
P13497,ECO:0000269,Secreted,Extracellular
P98063,ECO:0000269,Golgi apparatus,Golgi.apparatus
P98063,ECO:0000269,Secreted,Extracellular
Q09969,ECO:0000269,Mitochondrion outer membrane,Mitochondrion
O65009,ECO:0000269,Protein storage vacuole,Lysosome/Vacuole
D2CZZ9,ECO:0000269,Protein storage vacuole,Lysosome/Vacuole
Q6LEM5,ECO:0000269,Secreted,Extracellular
B3EWY3,ECO:0000269,Secreted,Extracellular
Q8N9W6,ECO:0000269,Cytoplasm,Cytoplasm
Q924M5,ECO:0000269,Cytoplasm,Cytoplasm
P84214,ECO:0000269,Secreted,Extracellular
P84213,ECO:0000269,Secreted,Extracellular
P86994,ECO:0000269,Secreted,Extracellular
P86483,ECO:0000269,Secreted,Extracellular
P84212,ECO:0000269,Secreted,Extracellular
P84211,ECO:0000269,Secreted,Extracellular
P0C7J7,ECO:0000269,Secreted,Extracellular
P0C7J8,ECO:0000269,Secreted,Extracellular
P0C7S5,ECO:0000269,Secreted,Extracellular
P86721,ECO:0000269,Secreted,Extracellular
P04562,ECO:0000269,Secreted,Extracellular
P85038,ECO:0000269,Secreted,Extracellular
P85160,ECO:0000269,Secreted,Extracellular
P0C7S4,ECO:0000269,Secreted,Extracellular
P01022,ECO:0000269,Secreted,Extracellular
P51587,ECO:0000269,Nucleus,Nucleus
P51587,ECO:0000269,Cytoplasm,Cytoplasm
P46736,ECO:0000269,Nucleus,Nucleus
P46736,ECO:0000269,Cytoplasm,Cytoplasm
O95696,ECO:0000269,Nucleus,Nucleus
O95696,ECO:0000269,Chromosome,Nucleus
Q7JJ13,ECO:0000269,Nucleus,Nucleus
Q9HGL6,ECO:0000269,Nucleus,Nucleus
Q9HGL6,ECO:0000269,Cytoplasm,Cytoplasm
Q08235,ECO:0000269,Nucleus,Nucleus
Q17TI5,ECO:0000269,Cell membrane,Cell.membrane
Q9FIL1,ECO:0000269,Cell membrane,Cell.membrane
Q9FHD7,ECO:0000269,Cell membrane,Cell.membrane
Q8L7U5,ECO:0000269,Nucleus,Nucleus
Q9SJF0,ECO:0000269,Cytoplasm,Cytoplasm
Q9SJF0,ECO:0000269,Cell membrane,Cell.membrane
Q9SHS7,ECO:0000269,Nucleus,Nucleus
P71014,ECO:0000269,Secreted,Extracellular
Q8VIM4,ECO:0000269,Basolateral cell membrane,Cell.membrane
Q5BD29,ECO:0000269,Secreted,Extracellular
Q9VYB0,ECO:0000269,Cytoplasm,Cytoplasm
Q9VYB0,ECO:0000269,Secreted,Extracellular
P35991,ECO:0000269,Cytoplasm,Cytoplasm
P35991,ECO:0000269,Cell membrane,Cell.membrane
P35991,ECO:0000269,Nucleus,Nucleus
Q7Z6A9,ECO:0000269,Cell membrane,Cell.membrane
Q7TSA3,ECO:0000269,Cell membrane,Cell.membrane
P23293,ECO:0000269,Nucleus,Nucleus
Q05949,ECO:0000269,Nucleus,Nucleus
Q10315,ECO:0000269,Nucleus,Nucleus
B9DGI8,ECO:0000269,Nucleus,Nucleus
Q84LG2,ECO:0000269,Nucleus,Nucleus
Q8S307,ECO:0000269,Nucleus,Nucleus
Q8WZJ7,ECO:0000269,Cytoplasm,Cytoplasm
P07245,ECO:0000269,Cytoplasm,Cytoplasm
P07245,ECO:0000269,Nucleus,Nucleus
Q6UB35,ECO:0000269,Mitochondrion,Mitochondrion
O43007,ECO:0000269,Mitochondrion,Mitochondrion
P09440,ECO:0000269,Mitochondrion,Mitochondrion
Q941Q3,ECO:0000269,Nucleus speckle,Nucleus
Q6UNA4,ECO:0000269,Cell membrane,Cell.membrane
Q9TUE1,ECO:0000269,Cell membrane,Cell.membrane
P97520,ECO:0000269,Cell membrane,Cell.membrane
P97520,ECO:0000269,Cytoplasmic vesicle,Lysosome/Vacuole
Q9P296,ECO:0000269,Cell membrane,Cell.membrane
P0C8V1,ECO:0000269,Secreted,Extracellular
P53836,ECO:0000269,Cytoplasm,Cytoplasm
P53836,ECO:0000269,Nucleus,Nucleus
D4HRK4,ECO:0000269,Secreted,Extracellular
Q9U619,ECO:0000269,Secreted,Extracellular
P85013,ECO:0000269,Secreted,Extracellular
P69658,ECO:0000269,Secreted,Extracellular
P0DM21,ECO:0000269,Secreted,Extracellular
P0CI05,ECO:0000269,Secreted,Extracellular
P58811,ECO:0000269,Secreted,Extracellular
P69747,ECO:0000269,Secreted,Extracellular
P56640,ECO:0000269,Secreted,Extracellular
P0C1V7,ECO:0000269,Secreted,Extracellular
C0HLK1,ECO:0000269,Secreted,Extracellular
P0C351,ECO:0000269,Secreted,Extracellular
P85009,ECO:0000269,Secreted,Extracellular
P0DPL8,ECO:0000269,Secreted,Extracellular
P56641,ECO:0000269,Secreted,Extracellular
P0C1V8,ECO:0000269,Secreted,Extracellular
Q13137,ECO:0000269,Cytoplasm,Cytoplasm
Q13137,ECO:0000269,Cytoplasmic vesicle,Lysosome/Vacuole
Q03017,ECO:0000269,Cytoplasm,Cytoplasm
P19022,ECO:0000269,Cell junction,Cell.membrane
P15116,ECO:0000269,Cell membrane,Cell.membrane
P15116,ECO:0000269,Cell junction,Cell.membrane
P15116,ECO:0000269,Cell surface,Extracellular
P34616,ECO:0000269,Cell membrane,Cell.membrane
P34616,ECO:0000269,Basolateral cell membrane,Cell.membrane
O43570,ECO:0000269,Cell membrane,Cell.membrane
Q9ZT82,ECO:0000269,Cell membrane,Cell.membrane
O43852,ECO:0000269,Endoplasmic reticulum membrane,Endoplasmic.reticulum
O43852,ECO:0000269,Golgi apparatus,Golgi.apparatus
Q6XLQ7,ECO:0000269,Sarcoplasmic reticulum lumen,Endoplasmic.reticulum
Q9Y6Q1,ECO:0000269,Cytoplasm,Cytoplasm
O35646,ECO:0000269,Cytoplasm,Cytoplasm
Q91VA3,ECO:0000269,Golgi apparatus,Golgi.apparatus
H6LGM8,ECO:0000269,Cytoplasm,Cytoplasm
Q9NXV6,ECO:0000269,Nucleus,Nucleus
Q9LUT0,ECO:0000269,Cytoplasm,Cytoplasm
Q5VZK9,ECO:0000269,Cytoplasm,Cytoplasm
Q5VZK9,ECO:0000269,Cell membrane,Cell.membrane
Q6EDY6,ECO:0000269,Cytoplasm,Cytoplasm
Q6F5E8,ECO:0000269,Cytoplasm,Cytoplasm
